timestamp,domain,parameter,value_from,value_to,delta_J,cumulative_delta_J
2026-03-25 10:45:26,network,cluster.qos_normalised,0.5000,0.8700,-0.0043,-0.4775
2026-03-25 10:46:27,thermal,cluster.fan_speed_normalised,0.5000,1.0000,-0.0050,-0.4825
2026-03-25 10:46:28,network,cluster.qos_normalised,0.5000,0.3700,-0.0019,-0.4844
2026-03-25 10:47:29,thermal,cluster.fan_speed_normalised,0.5000,0.9400,-0.0044,-0.4888
2026-03-25 10:47:29,network,cluster.qos_normalised,0.5000,0.4100,-0.0020,-0.4908
2026-03-25 10:48:32,thermal,cluster.fan_speed_normalised,0.5000,1.0000,-0.0050,-0.4958
2026-03-25 10:48:33,network,cluster.qos_normalised,0.5000,0.7100,-0.0035,-0.4993
2026-03-25 10:49:34,thermal,cluster.fan_speed_normalised,0.5000,1.0000,-0.0050,-0.5043
2026-03-25 10:49:35,network,cluster.qos_normalised,0.5000,0.2200,-0.0011,-0.5054
2026-03-25 10:50:36,thermal,cluster.fan_speed_normalised,0.5000,1.0000,-0.0050,-0.5104
2026-03-25 10:50:37,network,cluster.qos_normalised,0.5000,0.9600,-0.0048,-0.5152
2026-03-25 10:51:38,thermal,cluster.fan_speed_normalised,0.5000,1.0000,-0.0050,-0.5202
2026-03-25 10:51:38,network,cluster.qos_normalised,0.5000,0.3800,-0.0019,-0.5221
2026-03-25 10:52:39,thermal,cluster.fan_speed_normalised,0.5000,0.9000,-0.0040,-0.5261
2026-03-25 10:52:40,network,cluster.qos_normalised,0.5000,0.8600,-0.0043,-0.5304
2026-03-25 10:53:41,thermal,cluster.fan_speed_normalised,0.5000,1.0000,-0.0050,-0.5354
2026-03-25 10:53:41,network,cluster.qos_normalised,0.5000,0.4700,-0.0023,-0.5377
2026-03-25 10:54:45,thermal,cluster.fan_speed_normalised,0.5000,0.9700,-0.0047,-0.5424
2026-03-25 10:54:45,network,cluster.qos_normalised,0.5000,0.1000,-0.0005,-0.5429
2026-03-25 10:55:47,thermal,cluster.fan_speed_normalised,0.5000,0.9100,-0.0041,-0.5470
2026-03-25 10:55:47,network,cluster.qos_normalised,0.5000,0.9700,-0.0048,-0.5518
2026-03-25 10:56:48,thermal,cluster.fan_speed_normalised,0.5000,1.0000,-0.0050,-0.5568
2026-03-25 10:56:49,network,cluster.qos_normalised,0.5000,0.2800,-0.0014,-0.5582
2026-03-25 10:57:51,thermal,cluster.fan_speed_normalised,0.5000,0.9900,-0.0049,-0.5631
2026-03-25 10:57:51,network,cluster.qos_normalised,0.5000,0.9200,-0.0046,-0.5677
2026-03-25 10:58:53,thermal,cluster.fan_speed_normalised,0.5000,0.9800,-0.0048,-0.5725
2026-03-25 10:58:54,network,cluster.qos_normalised,0.5000,0.2100,-0.0010,-0.5735
2026-03-25 10:59:55,thermal,cluster.fan_speed_normalised,0.5000,1.0000,-0.0050,-0.5785
2026-03-25 10:59:56,network,cluster.qos_normalised,0.5000,0.1400,-0.0007,-0.5792
2026-03-25 11:01:00,thermal,cluster.fan_speed_normalised,0.5000,0.8400,-0.0034,-0.5826
2026-03-25 11:01:00,network,cluster.qos_normalised,0.5000,0.9900,-0.0049,-0.5875
2026-03-25 11:02:02,thermal,cluster.fan_speed_normalised,0.5000,1.0000,-0.0050,-0.5925
2026-03-25 11:02:03,network,cluster.qos_normalised,0.5000,0.8300,-0.0042,-0.5967
2026-03-25 11:03:05,thermal,cluster.fan_speed_normalised,0.5000,0.8500,-0.0035,-0.6002
2026-03-25 11:03:05,network,cluster.qos_normalised,0.5000,0.9700,-0.0048,-0.6050
2026-03-25 11:04:07,thermal,cluster.fan_speed_normalised,0.5000,0.9100,-0.0041,-0.6091
2026-03-25 11:04:08,network,cluster.qos_normalised,0.5000,0.9300,-0.0047,-0.6138
2026-03-25 11:05:10,thermal,cluster.fan_speed_normalised,0.5000,0.8200,-0.0032,-0.6170
2026-03-25 11:05:10,network,cluster.qos_normalised,0.5000,0.7200,-0.0036,-0.6206
2026-03-25 11:06:12,thermal,cluster.fan_speed_normalised,0.5000,1.0000,-0.0050,-0.6256
2026-03-25 11:06:12,network,cluster.qos_normalised,0.5000,0.9900,-0.0050,-0.6306
2026-03-25 11:07:16,thermal,cluster.fan_speed_normalised,0.5000,1.0000,-0.0050,-0.6356
2026-03-25 11:07:17,network,cluster.qos_normalised,0.5000,0.4800,-0.0024,-0.6380
2026-03-25 11:08:19,thermal,cluster.fan_speed_normalised,0.5000,1.0000,-0.0050,-0.6430
2026-03-25 11:08:19,network,cluster.qos_normalised,0.5000,0.3200,-0.0016,-0.6446
2026-03-25 11:09:21,thermal,cluster.fan_speed_normalised,0.5000,1.0000,-0.0050,-0.6496
2026-03-25 11:09:21,network,cluster.qos_normalised,0.5000,1.0000,-0.0050,-0.6546
2026-03-25 11:10:23,thermal,cluster.fan_speed_normalised,0.5000,0.9800,-0.0048,-0.6594
2026-03-25 11:10:24,network,cluster.qos_normalised,0.5000,0.7700,-0.0039,-0.6633
2026-03-25 11:11:26,thermal,cluster.fan_speed_normalised,0.5000,1.0000,-0.0050,-0.6683
2026-03-25 11:11:26,network,cluster.qos_normalised,0.5000,0.8700,-0.0044,-0.6727
2026-03-25 11:12:27,thermal,cluster.fan_speed_normalised,0.5000,1.0000,-0.0050,-0.6777
2026-03-25 11:12:28,network,cluster.qos_normalised,0.5000,0.7100,-0.0035,-0.6812
2026-03-25 11:13:32,thermal,cluster.fan_speed_normalised,0.5000,1.0000,-0.0050,-0.6862
2026-03-25 11:13:32,network,cluster.qos_normalised,0.5000,0.8900,-0.0044,-0.6906
2026-03-25 11:14:34,thermal,cluster.fan_speed_normalised,0.5000,0.9800,-0.0048,-0.6954
2026-03-25 11:14:35,network,cluster.qos_normalised,0.5000,0.6300,-0.0032,-0.6986
2026-03-25 11:15:36,thermal,cluster.fan_speed_normalised,0.5000,0.8000,-0.0030,-0.7016
2026-03-25 11:15:37,network,cluster.qos_normalised,0.5000,0.5100,-0.0026,-0.7042
2026-03-25 11:16:39,thermal,cluster.fan_speed_normalised,0.5000,0.9200,-0.0042,-0.7084
2026-03-25 11:16:39,network,cluster.qos_normalised,0.5000,1.0000,-0.0050,-0.7134
2026-03-25 11:17:41,thermal,cluster.fan_speed_normalised,0.5000,0.9300,-0.0043,-0.7177
2026-03-25 11:17:42,network,cluster.qos_normalised,0.5000,0.4800,-0.0024,-0.7201
2026-03-25 11:18:44,thermal,cluster.fan_speed_normalised,0.5000,1.0000,-0.0050,-0.7251
2026-03-25 11:18:44,network,cluster.qos_normalised,0.5000,0.2800,-0.0014,-0.7265
2026-03-25 11:19:47,thermal,cluster.fan_speed_normalised,0.5000,1.0000,-0.0050,-0.7315
2026-03-25 11:19:48,network,cluster.qos_normalised,0.5000,0.9900,-0.0050,-0.7365
2026-03-25 11:20:50,thermal,cluster.fan_speed_normalised,0.5000,1.0000,-0.0050,-0.7415
2026-03-25 11:20:51,network,cluster.qos_normalised,0.5000,0.9600,-0.0048,-0.7463
2026-03-25 11:21:52,thermal,cluster.fan_speed_normalised,0.5000,1.0000,-0.0050,-0.7513
2026-03-25 11:21:52,network,cluster.qos_normalised,0.5000,0.7700,-0.0038,-0.7551
2026-03-25 11:22:54,thermal,cluster.fan_speed_normalised,0.5000,0.8800,-0.0038,-0.7589
2026-03-25 11:22:55,network,cluster.qos_normalised,0.5000,0.8800,-0.0044,-0.7633
2026-03-25 11:23:56,thermal,cluster.fan_speed_normalised,0.5000,0.9400,-0.0044,-0.7677
2026-03-25 11:24:58,thermal,cluster.fan_speed_normalised,0.5000,0.9900,-0.0049,-0.7726
2026-03-25 11:24:59,network,cluster.qos_normalised,0.5000,0.3300,-0.0017,-0.7743
2026-03-25 11:26:02,thermal,cluster.fan_speed_normalised,0.5000,1.0000,-0.0050,-0.7793
2026-03-25 11:26:02,network,cluster.qos_normalised,0.5000,0.3300,-0.0016,-0.7809
2026-03-25 11:27:04,thermal,cluster.fan_speed_normalised,0.5000,0.9700,-0.0047,-0.7856
2026-03-25 11:27:05,network,cluster.qos_normalised,0.5000,0.3100,-0.0015,-0.7871
2026-03-25 11:28:06,thermal,cluster.fan_speed_normalised,0.5000,1.0000,-0.0050,-0.7921
